# cell:
#   XP12RO: SV40-immortalized skin fibroblast derived from patient deficient in XPA
#   XP20S: SV40-immortalized skin fibroblast derived from patient deficient in XPA
#   XP12RO-XPA: XP12RO cell line complemented with XPA
#   XP20S-XPA: XP20S cell line complemented with XPA
#	  HeLa-KO142: HeLa cell line with CRISPR KO of XPA (partial protein expression)
#   HeLA_KO38: HeLa cell line with CRISPR KO of XPA (no protein expression)
# treatment:
#   RA: retinoic acid
#   DMSO: DMSO vehicle
sample_id	description	cell	parental	treatment	xpa	cell_type	malignant
GSM2695286	HeLa_WT_RA_1	HeLa	HeLa	RA	+	Cervical carcinoma	TRUE
GSM2695287	HeLa_WT_RA_2	HeLa	HeLa	RA	+	Cervical carcinoma	TRUE
GSM2695288	HeLa_WT_RA_3	HeLa	HeLa	RA	+	Cervical carcinoma	TRUE
GSM2695289	HeLa_WT_DMSO1	HeLa	HeLa	DMSO	+	Cervical carcinoma	TRUE
GSM2695290	HeLa_WT_DMSO2	HeLa	HeLa	DMSO	+	Cervical carcinoma	TRUE
GSM2695291	HeLa_WT_DMSO3	HeLa	HeLa	DMSO	+	Cervical carcinoma	TRUE
GSM2695292	HeLa_WT_RA1	HeLa	HeLa	RA	+	Cervical carcinoma	TRUE
GSM2695293	HeLa_WT_RA2	HeLa	HeLa	RA	+	Cervical carcinoma	TRUE
GSM2695294	HeLa_WT_RA3	HeLa	HeLa	RA	+	Cervical carcinoma	TRUE
GSM2695295	HeLa-KO38_DMSO1	HeLa-KO38	HeLa	DMSO	-	Cervical carcinoma	TRUE
GSM2695296	HeLa-KO38_DMSO2	HeLa-KO38	HeLa	DMSO	-	Cervical carcinoma	TRUE
GSM2695297	HeLa-KO38_DMSO3	HeLa-KO38	HeLa	DMSO	-	Cervical carcinoma	TRUE
GSM2695298	HeLa-KO38_RA1	HeLa-KO38	HeLa	RA	-	Cervical carcinoma	TRUE
GSM2695299	HeLa-KO38_RA2	HeLa-KO38	HeLa	RA	-	Cervical carcinoma	TRUE
GSM2695300	HeLa-KO38_RA3	HeLa-KO38	HeLa	RA	-	Cervical carcinoma	TRUE
